svofps_id,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,sncosmo_aliases,legacy_aliases,label,effective_width [Hz]
HST/ACS_WFC.F606W,506600000000000.0,5921.88,black,5.63e-06,acswf::f606w,,,ACS/F606W,168737000000000.0
HST/ACS_WFC.F775W,389900000000000.0,7693.47,black,2.559e-06,acswf::f775w,,,ACS/F775W,66729800000000.0
HST/ACS_WFC.F850LP,332200000000000.0,9031.48,black,1.775e-06,acswf::f850lp,,,ACS/F850LP,46358000000000.0
HST/NICMOS2.F110W,267000000000000.0,11234.92,black,3.213e-06,nicf110w,nicmos2::f110w,,NICMOS2/F110W,94632700000000.0
HST/NICMOS2.F160W,187100000000000.0,16030.37,black,1.325e-06,nicf160w,nicmos2::f160w,,NICMOS2/F160W,38001100000000.0
HST/WFC3_UVIS1.F475W,628500000000000.0,4773.1,black,6.161e-06,uvf475w,f475w,F475W,WFC3/F475W,175568000000000.0
HST/WFC3_UVIS1.F555W,565100000000000.0,5308.42,black,6.295e-06,uvf555w,f555w,,WFC3/F555W,164623000000000.0
HST/WFC3_UVIS1.F606W,509400000000000.0,5889.16,black,6.6e-06,uvf606w,f606w,F606W,WFC3/F606W,186509000000000.0
HST/WFC3_UVIS1.F625W,480600000000000.0,6242.56,black,4.075e-06,uvf625w,f625w,F625W,WFC3/F625W,112034000000000.0
HST/WFC3_UVIS1.F775W,392100000000000.0,7651.37,black,2.358e-06,uvf775w,f775w,F775W,WFC3/F775W,59869400000000.0
HST/WFC3_UVIS1.F814W,373200000000000.0,8039.03,black,3.019e-06,uvf814w,f814w,F814W,WFC3/F814W,71045400000000.0
HST/WFC3_UVIS1.F850LP,326900000000000.0,9176.14,black,1.599e-06,uvf850lp,f850lp,F850W,WFC3/F850LP,42099500000000.0
HST/WFC3_UVIS1.F218W,1348000000000000.0,2225.17,black,7.304e-06,f218w,,,WFC3/F218W,194721000000000.0
HST/WFC3_UVIS1.F225W,1265000000000000.0,2371.15,black,9.049e-06,f225w,,,WFC3/F225W,250461000000000.0
HST/WFC3_UVIS1.F275W,1107000000000000.0,2709.29,black,6.327e-06,f275w,,,WFC3/F275W,162679000000000.0
HST/WFC3_UVIS1.F300X,1064000000000000.0,2819.96,black,1.123e-05,f300x,,,WFC3/F300X,248887000000000.0
HST/WFC3_UVIS1.F336W,894300000000000.0,3354.43,black,4.99e-06,f336w,,F336W,WFC3/F336W,136011000000000.0
HST/WFC3_UVIS1.F390W,764600000000000.0,3923.67,black,5.823e-06,f390w,,,WFC3/F390W,173839000000000.0
HST/WFC3_UVIS1.F438W,693400000000000.0,4326.24,black,3.445e-06,f438w,,,WFC3/F438W,98892700000000.0
HST/ACS_WFC.F435W,692900000000000.0,4329.85,black,4.818e-06,f435w,,,ACS/F435W,137893000000000.0
HST/WFC3_UVIS1.F350LP,510700000000000.0,5873.9,black,1.704e-05,f350lp,,,WFC3/F350LP,388097000000000.0
Roman/WFI.F062,476900000000000.0,6290.8,black,6.013e-06,f062,,,Roman/F062,180182000000000.0
HST/WFC3_UVIS1.F689M,436200000000000.0,6876.76,black,1.596e-06,f689m,,,WFC3/F689M,43274500000000.0
JWST/NIRCam2025.F070W,426200000000000.0,7039.12,black,2.686e-06,f070w,,,NIRCAM/F070W,99434900000000.0
HST/WFC3_UVIS1.F763M,394000000000000.0,7614.39,black,1.392e-06,f763m,,,WFC3/F763M,36431600000000.0
HST/WFC3_UVIS1.F845M,355500000000000.0,8439.08,black,1.266e-06,f845m,,,WFC3/F845M,33142300000000.0
Roman/WFI.F087,345000000000000.0,8695.98,black,2.758e-06,f087,,,Roman/F087,80571400000000.0
JWST/NIRCam2025.F090W,332500000000000.0,9021.53,black,2.396e-06,f090w,,,NIRCAM/F090W,73059400000000.0
HST/WFC3_IR.F098M,304200000000000.0,9862.72,black,1.672e-06,f098m,,,WFC3/F098M,48260600000000.0
HST/WFC3_IR.F105W,284400000000000.0,10550.25,black,2.351e-06,f105w,,J1,WFC3/F105W,70930500000000.0
Roman/WFI.F106,283900000000000.0,10566.52,black,2.414e-06,f106,,,Roman/F106,70408400000000.0
JWST/NIRCam2025.F115W,259900000000000.0,11542.61,black,1.694e-06,f115w,,,NIRCAM/F115W,54930800000000.0
HST/WFC3_IR.F110W,260100000000000.0,11534.46,black,3.249e-06,f110w,,F110W,WFC3/F110W,98352600000000.0
HST/WFC3_IR.F125W,240300000000000.0,12486.07,black,1.89e-06,f125w,,,WFC3/F125W,54486700000000.0
HST/WFC3_IR.F127M,235500000000000.0,12741.07,black,4.522e-07,f127m,,,WFC3/F127M,12672800000000.0
Roman/WFI.F129,232500000000000.0,12901.34,black,1.949e-06,f129,,,Roman/F129,57159400000000.0
HST/WFC3_IR.F139M,216700000000000.0,13841.81,black,3.588e-07,f139m,,,WFC3/F139M,10040500000000.0
HST/WFC3_IR.F140W,215500000000000.0,13923.21,black,2.039e-06,f140w,,,WFC3/F140W,59024800000000.0
JWST/NIRCam2025.F140M,213500000000000.0,14053.23,black,7.56e-07,f140m,,,NIRCAM/F140M,22454900000000.0
Roman/WFI.F146,208600000000000.0,14377.83,black,4.496e-06,f146,,,Roman/F146,142667000000000.0
JWST/NIRCam2025.F150W,199900000000000.0,15007.44,black,1.411e-06,f150w,,,NIRCAM/F150W,44024200000000.0
HST/WFC3_IR.F153M,195700000000000.0,15332.75,black,3.209e-07,f153m,,,WFC3/F153M,8706810000000.0
HST/WFC3_IR.F160W,195200000000000.0,15370.34,black,1.278e-06,f160w,,F160W,WFC3/F160W,33960300000000.0
Roman/WFI.F158,190500000000000.0,15748.67,black,1.578e-06,f158,,,Roman/F158,46393800000000.0
JWST/NIRCam2025.F162M,184400000000000.0,16272.47,black,6.707e-07,f162m,,,NIRCAM/F162M,19426300000000.0
JWST/NIRCam2025.F182M,162600000000000.0,18451.67,black,7.228e-07,f182m,,,NIRCAM/F182M,21315700000000.0
Roman/WFI.F184,163100000000000.0,18394.1,black,9.797e-07,f184,,,Roman/F184,27932900000000.0
JWST/NIRCam2025.F200W,150900000000000.0,19886.48,black,1.167e-06,f200w,,,NIRCAM/F200W,35236300000000.0
JWST/NIRCam2025.F210M,143200000000000.0,20954.51,black,5.111e-07,f210m,,,NIRCAM/F210M,14253600000000.0
Roman/WFI.F213,141300000000000.0,21229.96,black,8.119e-07,f213,,,Roman/F213,23010200000000.0
JWST/NIRCam2025.F250M,119800000000000.0,25032.33,black,3.103e-07,f250m,,,NIRCAM/F250M,8533690000000.0
JWST/NIRCam2025.F277W,108600000000000.0,27617.4,black,9.584e-07,f277w,,,NIRCAM/F277W,27541600000000.0
JWST/NIRCam2025.F300M,100400000000000.0,29891.21,black,3.981e-07,f300m,,,NIRCAM/F300M,10722700000000.0
JWST/NIRCam2025.F335M,89230000000000.0,33620.67,black,3.275e-07,f335m,,,NIRCAM/F335M,9929080000000.0
JWST/NIRCam2025.F356W,84070000000000.0,35683.62,black,6.257e-07,f356w,,,NIRCAM/F356W,19321800000000.0
JWST/NIRCam2025.F360M,82780000000000.0,36241.76,black,2.98e-07,f360m,,,NIRCAM/F360M,8514810000000.0
JWST/NIRCam2025.F410M,73490000000000.0,40822.38,black,2.794e-07,f410m,,,NIRCAM/F410M,8022880000000.0
JWST/NIRCam2025.F430M,70070000000000.0,42812.58,black,1.365e-07,f430m,,,NIRCAM/F430M,3748620000000.0
JWST/NIRCam2025.F444W,68120000000000.0,44043.15,black,6.085e-07,f444w,,,NIRCAM/F444W,16988600000000.0
JWST/NIRCam2025.F460M,64800000000000.0,46299.28,black,1.174e-07,f460m,,,NIRCAM/F460M,3183770000000.0
JWST/NIRCam2025.F480M,62260000000000.0,48181.95,black,1.476e-07,f480m,,,NIRCAM/F480M,3754700000000.0
JWST/MIRI.F560W,53240000000000.0,56352.56,black,3.268e-07,f560w,,,MIRI/F560W,9409870000000.0
JWST/MIRI.F770W,39270000000000.0,76393.34,black,3.461e-07,f770w,,,MIRI/F770W,10083500000000.0
JWST/MIRI.F1000W,30140000000000.0,99531.16,black,1.887e-07,f1000w,,,MIRI/F1000W,5417870000000.0
JWST/MIRI.F1065C,28400000000000.0,105628.39,black,5.517e-08,f1065c,,,MIRI/F1065C,1401840000000.0
JWST/MIRI.F1280W,23420000000000.0,128101.38,black,1.63e-07,f1280w,,,MIRI/F1280W,1721040000000.0
JWST/MIRI.F1140C,26520000000000.0,113103.03,black,5.144e-08,f1140c,,,MIRI/F1140C,1315790000000.0
JWST/MIRI.F1130W,26530000000000.0,113085.01,black,6.164e-08,f1130w,,,MIRI/F1130W,4500670000000.0
JWST/MIRI.F1500W,19920000000000.0,150635.06,black,1.426e-07,f1500w,,,MIRI/F1500W,3850550000000.0
JWST/MIRI.F1550C,19330000000000.0,155167.74,black,3.186e-08,f1550c,,,MIRI/F1550C,973985000000.0
JWST/MIRI.F1800W,16680000000000.0,179837.22,black,9.882e-08,f1800w,,,MIRI/F1800W,2727420000000.0
JWST/MIRI.F2100W,14430000000000.0,207950.05,black,1.122e-07,f2100w,,,MIRI/F2100W,3159490000000.0
JWST/MIRI.F2300C,13250000000000.0,226446.44,black,9.225e-08,f2300c,,,MIRI/F2300C,2608700000000.0
JWST/MIRI.F2550W,11830000000000.0,253640.02,black,6.601e-08,f2550w,,,MIRI/F2550W,1701660000000.0
Spitzer/IRAC.I1,84800000000000.0,35378.41,black,6.006e-07,spitzer::I1,irac::I1,,IRAC/I1,84800000000000.0
Spitzer/IRAC.I2,66990000000000.0,44780.49,black,4.743e-07,spitzer::I2,irac::I2,,IRAC/I2,66990000000000.0
Spitzer/IRAC.I3,52670000000000.0,56961.78,black,4.269e-07,spitzer::I3,irac::I3,,IRAC/I3,52670000000000.0
Spitzer/IRAC.I4,38470000000000.0,77978.4,black,4.653e-07,spitzer::I4,irac::I4,,IRAC/I4,38470000000000.0
TESS/TESS.Red,389700000000000.0,7697.6,black,7.658e-06,tess,,,TESS,184016000000000.0
GAIA/GAIA3.G,479900000000000.0,6251.5,black,1.321e-05,gaia::G,gaia::g,G,Gaia/G,324422000000000.0
GAIA/GAIA3.Gbp,587100000000000.0,5109.71,black,9.421e-06,gaia::gbp,,,GAIA/Gbp,292235000000000.0
GAIA/GAIA3.Grp,386200000000000.0,7769.02,black,5.472e-06,gaia::grp,,,GAIA/Grp,140255000000000.0
